Axe_1,Axe_2,Axe_3,Axe_4,Axe_5,Axe_6,Axe_7,Axe_8,Axe_9,Axe_10
-0.17739228732716922,0.44609127494596806,-0.3959642217336961,-0.3463998402136655,0.005956956707785418,0.5844775627311984,-0.3228458265149016,0.48927012951312676,-0.6273772003072482,-0.25373962931811755
0.4269167904777962,0.07885338152510422,0.4429219913537736,-0.6302821759450854,-0.1426986546087125,-0.003051647315629223,-0.2132919158757364,0.45477195817627414,0.3690465044901947,0.11138657954327487
0.4695479689227923,-0.37128437950331733,-0.5472141159326473,0.22915280901663343,0.05386582689817712,-0.37416703472675544,-0.1489637575330406,0.1035958762742268,-0.15410209999531854,-0.26486175588915606
-0.5123006870032735,-0.6563618323923038,0.3003487200678436,0.07494024950972727,0.34201563637244686,-0.2583187375203073,-0.058677382044868505,0.1966501991314591,0.15563079708906602,0.3336637184167658
0.3485562812736684,-0.00921321086931622,0.421190478039109,-0.5362544129447343,-0.48266690721533556,0.7743278882933249,0.464762360332632,-0.678369143333145,-0.30730480705956215,-0.10389111556420243
0.6666611815945649,-0.30657148197630996,-0.45011447336549193,0.34358888665056886,-0.1230350585190742,-0.2490216648634598,-0.2701652629376134,-0.014828161050101972,-0.32973369478040576,-0.10502355421813545
0.5399943301480513,-0.19185439424925393,-0.37062359318097626,-0.059603998837690506,0.07563078141983426,-0.29511725093456653,0.34632224648290455,-0.09992047710852367,-0.17067415932915606,-0.11306243436231164
0.6843676035436641,0.9129120573280933,-0.08123012659832883,0.2291345911697993,-0.4233439054686728,-0.35561900343164266,-0.11681118967856274,-0.11866048121353079,0.5516958975626937,-0.13673970063462904
0.5687741761590734,-0.5794889644829547,-0.17494129011942422,0.8786655505160044,0.550122092203255,0.0590421922889058,0.22224759163107777,-0.1152437996385808,0.14641525144221665,-0.36154232508759626
-0.3459434992125831,-0.6254920178945387,0.8331460569069488,0.750498769488209,0.2792592137324743,0.08316887557367848,0.22692092937996983,-0.10006942044575622,0.37517030684941677,0.016464697250715137
0.3485562812736684,-0.00921321086931622,0.421190478039109,-0.5362544129447343,-0.48266690721533556,0.7743278882933249,0.464762360332632,-0.678369143333145,-0.30730480705956215,-0.10389111556420243
0.6576398942274523,0.596448746003656,0.8018558458296867,-0.5568130604929487,0.34526731105639674,-0.020220104582518536,-0.5401921340334535,0.14879216022825825,0.0977880062799353,0.27104549083754254
0.3320879443682961,-0.1306139769586142,0.16719487229651314,-0.31412094200291435,-0.2895596374493904,0.09396712140717324,-0.05132049141592705,0.08877968806374206,-0.21151713701917157,-0.16748154385433092
1.0745277821811579,0.021167183512621444,-0.2958649053740895,0.6923243666477159,-0.2236001961395741,0.1487680396580814,0.2056799854648834,0.5065035920518915,-0.29136036457763526,-0.05049147642977222
0.530901518808931,-0.20531276021556183,-0.4878072437426189,0.10001586048776842,-0.06717751677000883,0.5072382472777895,0.32995297946445923,-0.6742736577814117,-0.41767040633491054,0.3989191792686392
-0.04736529962115166,0.24588757727855698,-0.18713010217688728,0.07835413108877104,-0.43933336390247824,-0.7191723018958894,0.46827182018771424,-0.29812587685077413,-0.23939999486898084,-0.10998106683052439
-0.530609705490919,-0.03541970181558751,0.09988798839739957,-0.09838193924312118,-0.0686782551481022,-0.5254541152139358,0.46898399142643343,0.09365491160924401,0.15745658593146963,-0.48603739222046044
0.33764547729929995,-0.0805011543253604,0.3532699234296004,0.1619717400613414,0.2748872076207204,-0.5907262226343051,0.3985601641354858,-0.18494341205636622,-0.1772568789235567,-0.28657449244913263
0.10834708045755745,-0.4234970648250856,-0.0324250778136307,0.07442285379935108,-0.21378267382684604,0.00040972523184654543,-0.524830927485519,-0.13257407554473552,0.1569341752946109,0.06987580937263103
0.7755554390403228,1.0976651718954,0.8260353352168691,-0.46912557626497636,0.8129828003586762,-0.2468566839689042,-0.26468103671305965,0.21521178943811287,0.586808941363302,0.8652541752391262
0.45365417908323036,0.5141092237316478,1.1478113512986547,-0.4936216328633226,0.517242377008234,-0.02168895707577985,-0.43399989468475453,0.12581328027890465,0.23927005428614398,0.31636452346526367
-0.44014078763387077,-0.03258244805238547,0.02191470062760399,-0.31383733607867254,0.5818226920770943,0.06410208765315319,0.2851739212817706,0.15120444518417572,-0.04827159552279036,0.1882843643750925
0.4269742631292555,-0.18097205965405347,0.4183332162390106,0.031456512181993995,-0.034147391573008286,-0.21031280047655931,-0.05483045180399517,-0.04578427840681367,-0.21772490498124036,0.06243568184795763
